"","state","statefp","county","countyfp","year","month","trap_type","num_collection_events","num_sites","num_trap_nights","num_aegypti_collected","num_albopictus_collected","num_collections_aegypti","num_collections_albopictus","GEOID"
"34","California","06","Alameda","001",2016,3,"CO2",63,59,65,0,0,0,0,"06001"
"35","California","06","Alameda","001",2016,4,"CO2",124,97,142,0,0,0,0,"06001"
"36","California","06","Alameda","001",2016,5,"BGS",9,9,9,0,0,0,0,"06001"
"37","California","06","Alameda","001",2016,5,"CO2",76,65,83,0,0,0,0,"06001"
"38","California","06","Alameda","001",2016,6,"CO2",252,131,298,0,0,0,0,"06001"
"39","California","06","Alameda","001",2016,6,"GAT",2,2,2,0,0,0,0,"06001"
"40","California","06","Alameda","001",2016,7,"CO2",213,141,231,0,0,0,0,"06001"
"41","California","06","Alameda","001",2016,8,"CO2",104,75,129,0,0,0,0,"06001"
"42","California","06","Alameda","001",2016,8,"GAT-PRES",2,2,66,NA,NA,0,0,"06001"
"43","California","06","Alameda","001",2016,8,"GRAV",9,4,15,0,0,0,0,"06001"
"44","California","06","Alameda","001",2016,9,"CO2",114,77,139,0,0,0,0,"06001"
"45","California","06","Alameda","001",2016,9,"GRAV",5,3,8,0,0,0,0,"06001"
"46","California","06","Alameda","001",2016,10,"CO2",65,61,65,0,0,0,0,"06001"
"47","California","06","Alameda","001",2016,11,"CO2",18,18,18,0,0,0,0,"06001"
"48","California","06","Alameda","001",2016,12,"CO2",50,32,56,0,0,0,0,"06001"
"49","California","06","Alameda","001",2017,1,"CO2",29,25,29,0,0,0,0,"06001"
"50","California","06","Alameda","001",2017,2,"CO2",22,22,23,0,0,0,0,"06001"
"51","California","06","Alameda","001",2017,3,"CO2",151,119,179,0,0,0,0,"06001"
"52","California","06","Alameda","001",2017,4,"CO2",172,138,177,0,0,0,0,"06001"
"53","California","06","Alameda","001",2017,5,"CO2",235,150,241,0,0,0,0,"06001"
"54","California","06","Alameda","001",2017,6,"CO2",165,125,165,0,0,0,0,"06001"
"55","California","06","Alameda","001",2017,6,"GRAV",7,7,7,0,0,0,0,"06001"
"56","California","06","Alameda","001",2017,7,"CO2",138,101,149,0,0,0,0,"06001"
"57","California","06","Alameda","001",2017,8,"CO2",159,113,159,0,0,0,0,"06001"
"58","California","06","Alameda","001",2017,9,"CO2",188,141,224,0,0,0,0,"06001"
"59","California","06","Alameda","001",2017,9,"GRAV",1,1,1,0,0,0,0,"06001"
"60","California","06","Alameda","001",2017,10,"CO2",241,138,241,0,0,0,0,"06001"
"61","California","06","Alameda","001",2017,11,"CO2",164,125,164,0,0,0,0,"06001"
"62","California","06","Alameda","001",2017,12,"CO2",3,3,3,0,0,0,0,"06001"
"63","California","06","Alameda","001",2018,2,"CO2",26,23,29,0,0,0,0,"06001"
"64","California","06","Alameda","001",2018,3,"CO2",138,58,143,0,0,0,0,"06001"
"65","California","06","Alameda","001",2018,4,"CO2",39,23,39,0,0,0,0,"06001"
"66","California","06","Alameda","001",2018,5,"CO2",278,138,308,0,0,0,0,"06001"
"67","California","06","Alameda","001",2018,5,"GRAV",1,1,1,0,0,0,0,"06001"
"68","California","06","Alameda","001",2018,6,"CO2",146,93,173,0,0,0,0,"06001"
"69","California","06","Alameda","001",2018,7,"CO2",219,183,238,0,0,0,0,"06001"
"70","California","06","Alameda","001",2018,8,"CO2",316,208,325,0,0,0,0,"06001"
"71","California","06","Alameda","001",2018,9,"CO2",300,179,301,0,0,0,0,"06001"
"72","California","06","Alameda","001",2018,10,"CO2",150,110,152,0,0,0,0,"06001"
"73","California","06","Alameda","001",2018,11,"CO2",59,58,59,0,0,0,0,"06001"
"74","California","06","Butte","007",2013,4,"GRAV",60,20,420,0,0,0,0,"06007"
"75","California","06","Butte","007",2013,5,"GRAV",80,20,580,0,0,0,0,"06007"
"76","California","06","Butte","007",2013,6,"GRAV",80,20,540,0,0,0,0,"06007"
"77","California","06","Butte","007",2013,7,"GRAV",100,20,700,0,0,0,0,"06007"
"78","California","06","Butte","007",2013,8,"GRAV",80,20,560,0,0,0,0,"06007"
"79","California","06","Butte","007",2013,9,"GRAV",100,20,700,0,0,0,0,"06007"
"80","California","06","Butte","007",2013,10,"GRAV",80,20,560,0,0,0,0,"06007"
"81","California","06","Butte","007",2013,11,"GRAV",20,20,140,0,0,0,0,"06007"
"82","California","06","Butte","007",2014,4,"GRAV",60,20,421,0,0,0,0,"06007"
"83","California","06","Butte","007",2014,5,"GRAV",80,20,580,0,0,0,0,"06007"
"84","California","06","Butte","007",2014,6,"GRAV",100,20,680,0,0,0,0,"06007"
"85","California","06","Butte","007",2014,7,"GRAV",80,20,560,0,0,0,0,"06007"
"86","California","06","Butte","007",2014,8,"GRAV",100,20,700,0,0,0,0,"06007"
"87","California","06","Butte","007",2014,9,"GRAV",80,20,560,0,0,0,0,"06007"
"88","California","06","Butte","007",2014,10,"GRAV",80,20,560,0,0,0,0,"06007"
"89","California","06","Butte","007",2014,11,"GRAV",20,20,140,0,0,0,0,"06007"
"90","California","06","Butte","007",2015,4,"GRAV",60,20,420,0,0,0,0,"06007"
"91","California","06","Butte","007",2015,5,"GRAV",60,20,440,0,0,0,0,"06007"
"92","California","06","Butte","007",2015,6,"GRAV",100,20,680,0,0,0,0,"06007"
"93","California","06","Butte","007",2015,7,"GRAV",102,22,714,0,0,0,0,"06007"
"94","California","06","Butte","007",2015,8,"GRAV",100,20,700,0,0,0,0,"06007"
"95","California","06","Butte","007",2015,9,"GRAV",80,20,560,0,0,0,0,"06007"
"96","California","06","Butte","007",2015,10,"GRAV",80,20,560,0,0,0,0,"06007"
"97","California","06","Butte","007",2015,11,"GRAV",40,20,280,0,0,0,0,"06007"
"98","California","06","Butte","007",2016,4,"GRAV",40,20,280,0,0,0,0,"06007"
"99","California","06","Butte","007",2016,5,"GRAV",102,22,736,0,0,0,0,"06007"
"100","California","06","Butte","007",2016,6,"GRAV",88,22,594,0,0,0,0,"06007"
"101","California","06","Butte","007",2016,7,"GRAV",66,22,462,0,0,0,0,"06007"
"102","California","06","Butte","007",2016,8,"GRAV",110,22,770,0,0,0,0,"06007"
"103","California","06","Butte","007",2016,9,"GRAV",88,22,619,0,0,0,0,"06007"
"104","California","06","Butte","007",2016,10,"GRAV",110,22,770,0,0,0,0,"06007"
"105","California","06","Butte","007",2016,11,"GRAV",22,22,154,0,0,0,0,"06007"
"106","California","06","Butte","007",2017,4,"GRAV",66,22,462,0,0,0,0,"06007"
"107","California","06","Butte","007",2017,5,"GRAV",88,22,616,0,0,0,0,"06007"
"108","California","06","Butte","007",2017,6,"GRAV",88,22,616,0,0,0,0,"06007"
"109","California","06","Butte","007",2017,7,"BGS",25,25,175,0,0,0,0,"06007"
"110","California","06","Butte","007",2017,7,"GRAV",110,22,770,0,0,0,0,"06007"
"111","California","06","Butte","007",2017,8,"BGS",125,25,875,0,0,0,0,"06007"
"112","California","06","Butte","007",2017,8,"GRAV",88,22,616,0,0,0,0,"06007"
"113","California","06","Butte","007",2017,9,"BGS",125,25,875,0,0,0,0,"06007"
"114","California","06","Butte","007",2017,9,"GRAV",96,26,672,0,0,0,0,"06007"
"115","California","06","Butte","007",2017,10,"BGS",25,25,175,0,0,0,0,"06007"
"116","California","06","Butte","007",2017,10,"GRAV",104,26,728,0,0,0,0,"06007"
"117","California","06","Butte","007",2017,11,"GRAV",26,26,182,0,0,0,0,"06007"
"118","California","06","Butte","007",2018,3,"BGS",6,6,42,0,0,0,0,"06007"
"119","California","06","Butte","007",2018,4,"GRAV",108,30,756,0,0,0,0,"06007"
"120","California","06","Butte","007",2018,5,"GRAV",86,30,602,0,0,0,0,"06007"
"121","California","06","Butte","007",2018,6,"BGS",14,7,98,0,0,0,0,"06007"
"122","California","06","Butte","007",2018,6,"GRAV",120,30,840,0,0,0,0,"06007"
"123","California","06","Butte","007",2018,7,"BGS",28,7,196,0,0,0,0,"06007"
"124","California","06","Butte","007",2018,7,"GRAV",150,30,1040,0,0,0,0,"06007"
"125","California","06","Butte","007",2018,8,"BGS",35,7,245,0,0,0,0,"06007"
"126","California","06","Butte","007",2018,8,"GRAV",120,30,820,0,0,0,0,"06007"
"127","California","06","Butte","007",2018,9,"BGS",28,7,196,0,0,0,0,"06007"
"128","California","06","Butte","007",2018,9,"GRAV",120,30,835,0,0,0,0,"06007"
"129","California","06","Butte","007",2018,10,"BGS",21,7,147,0,0,0,0,"06007"
"130","California","06","Butte","007",2018,10,"GRAV",150,30,1050,0,0,0,0,"06007"
"131","California","06","Butte","007",2018,11,"GRAV",30,30,210,0,0,0,0,"06007"
"132","California","06","Colusa","011",2017,5,"BGS",2,2,14,0,0,0,0,"06011"
"133","California","06","Colusa","011",2017,6,"BGS",21,7,147,0,0,0,0,"06011"
"134","California","06","Colusa","011",2017,7,"BGS",25,7,163,0,0,0,0,"06011"
"135","California","06","Colusa","011",2017,8,"BGS",29,7,203,0,0,0,0,"06011"
"136","California","06","Colusa","011",2017,8,"GAT",8,4,32,0,0,0,0,"06011"
"137","California","06","Colusa","011",2017,9,"BGS",24,6,168,0,0,0,0,"06011"
"138","California","06","Colusa","011",2017,9,"GAT",17,7,119,0,0,0,0,"06011"
"139","California","06","Colusa","011",2017,10,"BGS",24,6,168,0,0,0,0,"06011"
"140","California","06","Colusa","011",2017,10,"GAT",16,5,112,0,0,0,0,"06011"
"141","California","06","Colusa","011",2018,5,"BGS",18,7,126,0,0,0,0,"06011"
"142","California","06","Colusa","011",2018,6,"BGS",22,8,149,0,0,0,0,"06011"
"143","California","06","Colusa","011",2018,7,"BGS",29,7,413,0,0,0,0,"06011"
"144","California","06","Colusa","011",2018,8,"BGS",25,7,175,0,0,0,0,"06011"
"145","California","06","Colusa","011",2018,9,"BGS",28,7,203,0,0,0,0,"06011"
"146","California","06","Colusa","011",2018,10,"BGS",25,8,169,0,0,0,0,"06011"
"147","California","06","Contra Costa","013",2013,4,"CO2",117,26,117,0,0,0,0,"06013"
"148","California","06","Contra Costa","013",2013,5,"CO2",92,24,92,0,0,0,0,"06013"
"149","California","06","Contra Costa","013",2013,6,"CO2",94,24,94,0,0,0,0,"06013"
"150","California","06","Contra Costa","013",2013,7,"CO2",116,24,116,0,0,0,0,"06013"
"151","California","06","Contra Costa","013",2013,8,"CO2",88,24,88,0,0,0,0,"06013"
"152","California","06","Contra Costa","013",2013,9,"CO2",88,23,88,0,0,0,0,"06013"
"153","California","06","Contra Costa","013",2013,10,"CO2",114,23,114,0,0,0,0,"06013"
"154","California","06","Contra Costa","013",2014,4,"CO2",109,24,109,0,0,0,0,"06013"
"155","California","06","Contra Costa","013",2014,5,"CO2",87,24,87,0,0,0,0,"06013"
"156","California","06","Contra Costa","013",2014,6,"CO2",95,24,95,0,0,0,0,"06013"
"157","California","06","Contra Costa","013",2014,7,"CO2",117,24,117,0,0,0,0,"06013"
"158","California","06","Contra Costa","013",2014,8,"CO2",93,24,93,0,0,0,0,"06013"
"159","California","06","Contra Costa","013",2014,9,"CO2",116,24,116,0,0,0,0,"06013"
"160","California","06","Contra Costa","013",2014,10,"CO2",95,24,95,0,0,0,0,"06013"
"161","California","06","Contra Costa","013",2015,4,"CO2",66,24,66,0,0,0,0,"06013"
"162","California","06","Contra Costa","013",2015,5,"CO2",91,24,91,0,0,0,0,"06013"
"163","California","06","Contra Costa","013",2015,6,"CO2",117,24,117,0,0,0,0,"06013"
"164","California","06","Contra Costa","013",2015,7,"CO2",95,24,101,0,0,0,0,"06013"
"165","California","06","Contra Costa","013",2015,8,"CO2",91,24,91,0,0,0,0,"06013"
"166","California","06","Contra Costa","013",2015,9,"CO2",114,24,114,0,0,0,0,"06013"
"167","California","06","Contra Costa","013",2015,10,"CO2",85,24,85,0,0,0,0,"06013"
"168","California","06","Contra Costa","013",2016,4,"CO2",86,24,86,0,0,0,0,"06013"
"169","California","06","Contra Costa","013",2016,5,"CO2",92,24,92,0,0,0,0,"06013"
"170","California","06","Contra Costa","013",2016,6,"CO2",103,24,103,0,0,0,0,"06013"
"171","California","06","Contra Costa","013",2016,7,"CO2",93,24,93,0,0,0,0,"06013"
"172","California","06","Contra Costa","013",2016,8,"CO2",116,24,116,0,0,0,0,"06013"
"173","California","06","Contra Costa","013",2016,9,"CO2",94,24,94,0,0,0,0,"06013"
"174","California","06","Contra Costa","013",2016,10,"CO2",93,24,93,0,0,0,0,"06013"
"175","California","06","Contra Costa","013",2017,4,"CO2",85,23,85,0,0,0,0,"06013"
"176","California","06","Contra Costa","013",2017,5,"CO2",113,24,113,0,0,0,0,"06013"
"177","California","06","Contra Costa","013",2017,6,"CO2",95,24,95,0,0,0,0,"06013"
"178","California","06","Contra Costa","013",2017,7,"CO2",94,24,94,0,0,0,0,"06013"
"179","California","06","Contra Costa","013",2017,8,"CO2",117,24,117,0,0,0,0,"06013"
"180","California","06","Contra Costa","013",2017,9,"CO2",85,23,85,0,0,0,0,"06013"
"181","California","06","Contra Costa","013",2017,10,"CO2",91,23,91,0,0,0,0,"06013"
"182","California","06","Contra Costa","013",2018,5,"BGS",1,1,1,0,0,0,0,"06013"
"183","California","06","Contra Costa","013",2018,5,"CO2",65,21,65,0,0,0,0,"06013"
"184","California","06","Contra Costa","013",2018,6,"BGS",2,2,2,0,0,0,0,"06013"
"185","California","06","Contra Costa","013",2018,6,"CO2",80,22,80,0,0,0,0,"06013"
"186","California","06","Contra Costa","013",2018,7,"BGS",7,6,7,0,0,0,0,"06013"
"187","California","06","Contra Costa","013",2018,7,"CO2",102,22,102,0,0,0,0,"06013"
"188","California","06","Contra Costa","013",2018,8,"BGS",5,5,5,0,0,0,0,"06013"
"189","California","06","Contra Costa","013",2018,8,"CO2",83,22,83,0,0,0,0,"06013"
"190","California","06","Contra Costa","013",2018,9,"BGS",2,2,2,0,0,0,0,"06013"
"191","California","06","Contra Costa","013",2018,9,"CO2",90,23,90,0,0,0,0,"06013"
"192","California","06","Contra Costa","013",2018,10,"CO2",91,23,91,0,0,0,0,"06013"
"193","California","06","Fresno","019",2013,3,"CO2",115,55,115,0,0,0,0,"06019"
"194","California","06","Fresno","019",2013,3,"GRAV",16,15,16,0,0,0,0,"06019"
"195","California","06","Fresno","019",2013,4,"CO2",335,152,335,0,0,0,0,"06019"
"196","California","06","Fresno","019",2013,4,"GRAV",193,122,193,0,0,0,0,"06019"
"197","California","06","Fresno","019",2013,5,"CO2",422,227,424,0,0,0,0,"06019"
"198","California","06","Fresno","019",2013,5,"GRAV",237,166,237,0,0,0,0,"06019"
"199","California","06","Fresno","019",2013,6,"CO2",490,250,493,38,0,16,0,"06019"
"200","California","06","Fresno","019",2013,6,"GRAV",287,189,288,1,0,1,0,"06019"
"201","California","06","Fresno","019",2013,7,"CO2",418,180,418,7,0,5,0,"06019"
"202","California","06","Fresno","019",2013,7,"GRAV",251,152,251,0,0,0,0,"06019"
"203","California","06","Fresno","019",2013,8,"CO2",395,177,395,13,0,7,0,"06019"
"204","California","06","Fresno","019",2013,8,"GAT",7,7,49,32,0,5,0,"06019"
"205","California","06","Fresno","019",2013,8,"GRAV",236,144,236,1,0,1,0,"06019"
"206","California","06","Fresno","019",2013,9,"CO2",417,148,429,65,0,34,0,"06019"
"207","California","06","Fresno","019",2013,9,"GAT",71,17,497,294,0,54,0,"06019"
"208","California","06","Fresno","019",2013,9,"GRAV",146,97,146,0,0,0,0,"06019"
"209","California","06","Fresno","019",2013,10,"CO2",291,140,297,7,0,6,0,"06019"
"210","California","06","Fresno","019",2013,10,"GAT",78,17,546,250,0,60,0,"06019"
"211","California","06","Fresno","019",2013,10,"GRAV",129,81,129,2,0,2,0,"06019"
"212","California","06","Fresno","019",2013,11,"CO2",27,22,27,0,0,0,0,"06019"
"213","California","06","Fresno","019",2013,11,"GAT",50,18,350,28,0,12,0,"06019"
"214","California","06","Fresno","019",2013,11,"GRAV",3,3,3,0,0,0,0,"06019"
"215","California","06","Fresno","019",2014,2,"CO2",7,7,7,0,0,0,0,"06019"
"216","California","06","Fresno","019",2014,3,"CO2",66,21,66,0,0,0,0,"06019"
"217","California","06","Fresno","019",2014,3,"GAT",57,23,399,6,0,6,0,"06019"
"218","California","06","Fresno","019",2014,4,"CO2",212,129,212,0,0,0,0,"06019"
"219","California","06","Fresno","019",2014,4,"GAT",90,23,630,3,0,2,0,"06019"
"220","California","06","Fresno","019",2014,4,"GRAV",113,90,113,0,0,0,0,"06019"
"221","California","06","Fresno","019",2014,5,"BGS",13,12,13,26,0,4,0,"06019"
"222","California","06","Fresno","019",2014,5,"CO2",322,165,322,2,0,1,0,"06019"
"223","California","06","Fresno","019",2014,5,"GAT",130,34,748,27,0,12,0,"06019"
"224","California","06","Fresno","019",2014,5,"GRAV",216,150,216,4,0,2,0,"06019"
"225","California","06","Fresno","019",2014,6,"BGS",28,24,28,45,0,4,0,"06019"
"226","California","06","Fresno","019",2014,6,"CO2",463,241,463,3,0,1,0,"06019"
"227","California","06","Fresno","019",2014,6,"GAT",155,34,377,180,0,42,0,"06019"
"228","California","06","Fresno","019",2014,6,"GRAV",286,209,286,1,0,1,0,"06019"
"229","California","06","Fresno","019",2014,7,"BGS",95,34,95,932,0,80,0,"06019"
"230","California","06","Fresno","019",2014,7,"CO2",464,204,464,24,0,9,0,"06019"
"231","California","06","Fresno","019",2014,7,"GAT",122,36,218,425,0,55,0,"06019"
"232","California","06","Fresno","019",2014,7,"GRAV",293,184,293,3,0,3,0,"06019"
"233","California","06","Fresno","019",2014,8,"BGS",120,30,120,1870,0,103,0,"06019"
"234","California","06","Fresno","019",2014,8,"CO2",420,211,443,19,0,9,0,"06019"
"235","California","06","Fresno","019",2014,8,"GAT",83,23,347,0,0,0,0,"06019"
"236","California","06","Fresno","019",2014,8,"GRAV",266,177,272,12,0,7,0,"06019"
"237","California","06","Fresno","019",2014,9,"BGS",78,33,78,627,0,49,0,"06019"
"238","California","06","Fresno","019",2014,9,"CO2",305,159,305,26,0,6,0,"06019"
"239","California","06","Fresno","019",2014,9,"GAT",42,22,132,0,0,0,0,"06019"
"240","California","06","Fresno","019",2014,9,"GRAV",165,111,165,9,0,7,0,"06019"
"241","California","06","Fresno","019",2014,10,"BGS",27,18,27,69,0,7,0,"06019"
"242","California","06","Fresno","019",2014,10,"CO2",196,107,274,9,0,3,0,"06019"
"243","California","06","Fresno","019",2014,10,"GAT",20,6,20,0,0,0,0,"06019"
"244","California","06","Fresno","019",2014,10,"GRAV",84,62,102,1,0,1,0,"06019"
"245","California","06","Fresno","019",2014,11,"BGS",1,1,1,33,0,1,0,"06019"
"246","California","06","Fresno","019",2014,11,"CO2",26,18,26,0,0,0,0,"06019"
"247","California","06","Fresno","019",2014,11,"GAT",36,9,234,19,0,8,0,"06019"
"248","California","06","Fresno","019",2014,11,"GRAV",1,1,1,0,0,0,0,"06019"
"249","California","06","Fresno","019",2014,12,"GAT",36,9,271,6,0,2,0,"06019"
"250","California","06","Fresno","019",2015,1,"GAT",36,9,252,0,0,0,0,"06019"
"251","California","06","Fresno","019",2015,2,"BGS",7,7,8,0,0,0,0,"06019"
"252","California","06","Fresno","019",2015,2,"CO2",10,10,10,0,0,0,0,"06019"
"253","California","06","Fresno","019",2015,2,"GAT",39,10,345,0,0,0,0,"06019"
"254","California","06","Fresno","019",2015,2,"GRAV",2,2,2,0,0,0,0,"06019"
"255","California","06","Fresno","019",2015,3,"BGS",12,12,12,0,0,0,0,"06019"
"256","California","06","Fresno","019",2015,3,"CO2",125,57,365,0,0,0,0,"06019"
"257","California","06","Fresno","019",2015,3,"GAT",51,16,285,1,0,1,0,"06019"
"258","California","06","Fresno","019",2015,3,"GRAV",46,27,94,0,0,0,0,"06019"
"259","California","06","Fresno","019",2015,4,"BGS",22,20,22,1,0,1,0,"06019"
"260","California","06","Fresno","019",2015,4,"CO2",263,133,263,4,0,1,0,"06019"
"261","California","06","Fresno","019",2015,4,"GAT",72,17,312,3,0,3,0,"06019"
"262","California","06","Fresno","019",2015,4,"GRAV",147,98,147,0,0,0,0,"06019"
"263","California","06","Fresno","019",2015,5,"BGS",19,13,19,9,0,6,0,"06019"
"264","California","06","Fresno","019",2015,5,"CO2",388,192,389,0,0,0,0,"06019"
"265","California","06","Fresno","019",2015,5,"GAT",103,28,290,26,0,11,0,"06019"
"266","California","06","Fresno","019",2015,5,"GRAV",255,155,255,0,0,0,0,"06019"
"267","California","06","Fresno","019",2015,6,"BGS",61,40,61,93,0,24,0,"06019"
"268","California","06","Fresno","019",2015,6,"CO2",474,216,474,1,0,1,0,"06019"
"269","California","06","Fresno","019",2015,6,"GAT",108,27,317,41,0,16,0,"06019"
"270","California","06","Fresno","019",2015,6,"GRAV",325,209,325,0,0,0,0,"06019"
"271","California","06","Fresno","019",2015,7,"BGS",91,46,91,474,0,30,0,"06019"
"272","California","06","Fresno","019",2015,7,"CO2",473,240,473,10,0,5,0,"06019"
"273","California","06","Fresno","019",2015,7,"GAT",124,28,437,328,0,34,0,"06019"
"274","California","06","Fresno","019",2015,7,"GRAV",302,179,302,1,0,1,0,"06019"
"275","California","06","Fresno","019",2015,8,"BGS",89,37,89,666,0,48,0,"06019"
"276","California","06","Fresno","019",2015,8,"CO2",415,207,415,214,0,24,0,"06019"
"277","California","06","Fresno","019",2015,8,"GAT",97,29,319,508,0,33,0,"06019"
"278","California","06","Fresno","019",2015,8,"GRAV",279,175,285,21,0,16,0,"06019"
"279","California","06","Fresno","019",2015,9,"BGS",70,36,70,431,0,42,0,"06019"
"280","California","06","Fresno","019",2015,9,"CO2",399,194,399,219,0,25,0,"06019"
"281","California","06","Fresno","019",2015,9,"GAT",131,28,322,411,0,38,0,"06019"
"282","California","06","Fresno","019",2015,9,"GRAV",228,137,228,12,0,8,0,"06019"
"283","California","06","Fresno","019",2015,10,"BGS",74,31,74,583,0,42,0,"06019"
"284","California","06","Fresno","019",2015,10,"CO2",371,184,371,148,0,29,0,"06019"
"285","California","06","Fresno","019",2015,10,"GAT",142,28,479,474,0,48,0,"06019"
"286","California","06","Fresno","019",2015,10,"GRAV",181,116,181,22,0,12,0,"06019"
"287","California","06","Fresno","019",2015,11,"BGS",24,15,24,10,0,7,0,"06019"
"288","California","06","Fresno","019",2015,11,"CO2",22,21,22,0,0,0,0,"06019"
"289","California","06","Fresno","019",2015,11,"GAT",49,28,225,59,0,20,0,"06019"
"290","California","06","Fresno","019",2015,11,"GRAV",8,8,8,0,0,0,0,"06019"
"291","California","06","Fresno","019",2015,12,"GAT",20,5,175,3,0,3,0,"06019"
"292","California","06","Fresno","019",2016,1,"GAT",20,6,150,0,0,0,0,"06019"
"293","California","06","Fresno","019",2016,2,"CO2",8,8,8,0,0,0,0,"06019"
"294","California","06","Fresno","019",2016,2,"GAT",15,5,135,0,0,0,0,"06019"
"295","California","06","Fresno","019",2016,2,"GRAV",1,1,1,0,0,0,0,"06019"
"296","California","06","Fresno","019",2016,3,"BGS",9,7,9,0,0,0,0,"06019"
"297","California","06","Fresno","019",2016,3,"CO2",128,61,128,0,0,0,0,"06019"
"298","California","06","Fresno","019",2016,3,"GAT",100,22,250,0,0,0,0,"06019"
"299","California","06","Fresno","019",2016,3,"GRAV",59,36,59,0,0,0,0,"06019"
"300","California","06","Fresno","019",2016,4,"BGS",60,27,60,78,0,15,0,"06019"
"301","California","06","Fresno","019",2016,4,"CO2",337,156,337,0,0,0,0,"06019"
"302","California","06","Fresno","019",2016,4,"GAT",93,22,238,1,0,1,0,"06019"
"303","California","06","Fresno","019",2016,4,"GRAV",171,102,171,0,0,0,0,"06019"
"304","California","06","Fresno","019",2016,5,"BGS",105,44,105,110,0,47,0,"06019"
"305","California","06","Fresno","019",2016,5,"CO2",345,177,357,9,0,3,0,"06019"
"306","California","06","Fresno","019",2016,5,"GAT",87,22,217,4,0,4,0,"06019"
"307","California","06","Fresno","019",2016,5,"GRAV",235,146,247,0,0,0,0,"06019"
"308","California","06","Fresno","019",2016,6,"BGS",229,69,229,1456,0,165,0,"06019"
"309","California","06","Fresno","019",2016,6,"CO2",494,228,494,49,0,18,0,"06019"
"310","California","06","Fresno","019",2016,6,"GAT",104,22,222,23,0,12,0,"06019"
"311","California","06","Fresno","019",2016,6,"GRAV",380,183,380,16,0,7,0,"06019"
"312","California","06","Fresno","019",2016,7,"BGS",192,52,192,1973,0,143,0,"06019"
"313","California","06","Fresno","019",2016,7,"CO2",408,213,408,32,0,13,0,"06019"
"314","California","06","Fresno","019",2016,7,"GAT",71,22,191,72,0,19,0,"06019"
"315","California","06","Fresno","019",2016,7,"GRAV",355,187,355,36,0,13,0,"06019"
"316","California","06","Fresno","019",2016,8,"BGS",260,84,272,2428,0,195,0,"06019"
"317","California","06","Fresno","019",2016,8,"CO2",492,227,492,142,0,47,0,"06019"
"318","California","06","Fresno","019",2016,8,"GAT",113,24,301,531,0,27,0,"06019"
