"","county","year","month","trap_type","num_collection_events","num_trap_nights","num_albopictus_collected","num_collections_albopictus","mean_t","sum_p","prop_pos","std_catch"
"53","New Hanover",2018,6,"GRAV",1,1,0,0,27.1111111111111,8.41,0,0
"54","New Hanover",2018,7,"BGS",11,32,25,7,26.3888888888889,17.1,0.636363636363636,0.78125
"55","New Hanover",2018,7,"CO2",59,59,204,36,26.3888888888889,17.1,0.610169491525424,3.45762711864407
"56","New Hanover",2018,7,"GRAV",2,2,9,2,26.3888888888889,17.1,1,4.5
"57","New Hanover",2018,8,"BGS",14,31,74,10,27.6666666666667,5.43,0.714285714285714,2.38709677419355
"58","New Hanover",2018,8,"CO2",35,44,228,24,27.6666666666667,5.43,0.685714285714286,5.18181818181818
"59","New Hanover",2018,8,"GRAV",1,1,1,1,27.6666666666667,5.43,1,1
"60","New Hanover",2018,9,"BGS",3,3,16,3,26.2222222222222,24.13,1,5.33333333333333
"61","New Hanover",2018,9,"CO2",31,31,1176,17,26.2222222222222,24.13,0.548387096774194,37.9354838709677
"62","New Hanover",2018,10,"BGS",15,30,34,8,19.9444444444444,2.5,0.533333333333333,1.13333333333333
"63","New Hanover",2018,10,"CO2",39,39,59,19,19.9444444444444,2.5,0.487179487179487,1.51282051282051
"64","New Hanover",2018,10,"GRAV",3,3,5,2,19.9444444444444,2.5,0.666666666666667,1.66666666666667
"65","New Hanover",2018,11,"BGS",9,28,2,2,13.3333333333333,6.12,0.222222222222222,0.0714285714285714
"66","New Hanover",2018,11,"CO2",39,39,10,9,13.3333333333333,6.12,0.230769230769231,0.256410256410256
"67","New Hanover",2018,12,"BGS",1,6,0,0,10.5555555555556,7.08,0,0
"68","Transylvania",2017,4,"BGS",6,8,0,0,14.7222222222222,8.58,0,0
"69","Transylvania",2017,4,"CO2",3,3,0,0,14.7222222222222,8.58,0,0
"70","Transylvania",2017,5,"BGS",10,20,0,0,17.1666666666667,8.29,0,0
"71","Transylvania",2017,5,"CO2",2,2,0,0,17.1666666666667,8.29,0,0
"72","Transylvania",2017,6,"BGS",9,18,16,3,20.7222222222222,3.87,0.333333333333333,0.888888888888889
"73","Transylvania",2017,6,"CO2",4,4,1,1,20.7222222222222,3.87,0.25,0.25
"74","Transylvania",2017,7,"BGS",2,2,3,2,23.3888888888889,4.83,1,1.5
"75","Transylvania",2017,8,"BGS",6,8,29,5,21.7222222222222,4.65,0.833333333333333,3.625
"76","Transylvania",2017,9,"BGS",10,13,80,7,18.6666666666667,7.03,0.7,6.15384615384615
"77","Transylvania",2017,9,"CO2",2,2,0,0,18.6666666666667,7.03,0,0
"78","Transylvania",2017,10,"BGS",5,8,29,2,14.1111111111111,15,0.4,3.625
"79","Transylvania",2017,10,"CO2",2,2,0,0,14.1111111111111,15,0,0
"80","Transylvania",2018,4,"BGS",6,12,0,0,10.6111111111111,6.43,0,0
"81","Transylvania",2018,5,"BGS",6,10,0,0,19.3333333333333,17.8,0,0
"82","Transylvania",2018,5,"CO2",1,1,0,0,19.3333333333333,17.8,0,0
"83","Transylvania",2018,5,"GRAV",1,1,0,0,19.3333333333333,17.8,0,0
"84","Transylvania",2018,6,"BGS",5,10,4,2,22.3333333333333,3.1,0.4,0.4
"85","Transylvania",2018,6,"GRAV",2,2,1,1,22.3333333333333,3.1,0.5,0.5
"86","Transylvania",2018,7,"BGS",1,1,8,1,22.6111111111111,10.2,1,8
"87","Transylvania",2018,9,"BGS",2,4,5,2,22.2777777777778,9.35,1,1.25
"88","Wake",2017,4,"BGS",1,1,1,1,19.1666666666667,8.66,1,1
"89","Wake",2017,5,"BGS",9,9,29,7,20.7777777777778,5.64,0.777777777777778,3.22222222222222
"90","Wake",2017,6,"BGS",14,14,383,11,24.2222222222222,6.16,0.785714285714286,27.3571428571429
"91","Wake",2017,7,"BGS",12,12,553,11,27.7777777777778,2.38,0.916666666666667,46.0833333333333
"92","Wake",2017,8,"BGS",14,14,338,14,26,5,1,24.1428571428571
"93","Wake",2017,9,"BGS",12,12,332,12,22.1666666666667,2.28,1,27.6666666666667
"94","Wake",2017,10,"BGS",12,12,164,10,17.8888888888889,4.29,0.833333333333333,13.6666666666667
"95","Wake",2017,11,"BGS",9,9,27,3,9.94444444444444,1.28,0.333333333333333,3
"96","Wake",2018,5,"BGS",21,21,248,20,23.4444444444444,5.12,0.952380952380952,11.8095238095238
"97","Wake",2018,5,"CO2",1,1,0,0,23.4444444444444,5.12,0,0
"98","Wake",2018,5,"GRAV",1,1,2,1,23.4444444444444,5.12,1,2
"99","Wake",2018,6,"BGS",29,29,1847,23,25.7222222222222,1.98,0.793103448275862,63.6896551724138
"100","Wake",2018,6,"CO2",1,1,11,1,25.7222222222222,1.98,1,11
"101","Wake",2018,6,"GRAV",1,1,6,1,25.7222222222222,1.98,1,6
"102","Wake",2018,7,"BGS",26,26,682,25,26.4444444444444,4.92,0.961538461538462,26.2307692307692
"103","Wake",2018,7,"CO2",1,1,7,1,26.4444444444444,4.92,1,7
"104","Wake",2018,7,"GRAV",1,1,6,1,26.4444444444444,4.92,1,6
"105","Wake",2018,8,"BGS",21,21,446,20,26.0555555555556,6.62,0.952380952380952,21.2380952380952
"106","Wake",2018,8,"CO2",1,1,11,1,26.0555555555556,6.62,1,11
"107","Wake",2018,8,"GRAV",1,1,9,1,26.0555555555556,6.62,1,9
"108","Wake",2018,9,"BGS",19,19,156,13,24.9444444444444,7.97,0.684210526315789,8.21052631578947
"109","Wake",2018,9,"CO2",1,1,13,1,24.9444444444444,7.97,1,13
"110","Wake",2018,9,"GRAV",1,1,2,1,24.9444444444444,7.97,1,2
"111","Wake",2018,10,"BGS",24,24,284,14,16.6666666666667,4.58,0.583333333333333,11.8333333333333
"112","Wake",2018,10,"CO2",1,1,0,0,16.6666666666667,4.58,0,0
"113","Wake",2018,10,"GRAV",1,1,1,1,16.6666666666667,4.58,1,1
